county,precinct,office,district,party,candidate,votes,early_voting,election_day
Fisher,12,"Judge, Court of Criminal Appeals, Pl 5",,REP,Brent Webster,17,4,13
Fisher,12,"Judge, Court of Criminal Appeals, Pl 6",,REP,Michael E Keasler,36,11,25
Fisher,12,"Judge, Court of Crimianl Appeals, Pl 6",,REP,Richard Davis,31,4,27
Fisher,12,State Senator,28,REP,Charles Perry,75,19,56
Fisher,12,State Representative,68,REP,Drew Springer,61,16,45
Fisher,12,11th Court of Appeals Dist Pl 3,,REP,John Bailey,58,15,43
Fisher,12,Prop 1,,REP,Yes,65,14,51
Fisher,12,Prop 1,,REP,No,34,4,30
Fisher,12,Prop 2,,REP,Yes,57,10,47
Fisher,12,Prop 2,,REP,No,47,10,37
Fisher,12,Prop 3,,REP,Yes,83,16,67
Fisher,12,Prop 3,,REP,No,18,4,14
Fisher,12,Prop 4,,REP,Yes,95,19,76
Fisher,12,Prop 4,,REP,No,6,0,6
